month,usd_ugx,E_IFEM_MR,E_OFF_MR,E_EP
2021-06,3540.35210526316,3540.35210526316,3540.35210526316,3556.71
2021-07,3552.30571428571,3552.30571428571,3552.30571428571,3549.91
2021-08,3537.03681818182,3537.03681818182,3537.03681818182,3535.13
2021-09,3530.63136363636,3530.63136363636,3530.63136363636,3542.67
2021-10,3579.94238095238,3579.94238095238,3579.94238095238,3554.78
2021-11,3551.52279545455,3551.52279545455,3551.52279545455,3564.2
2021-12,3554.99173913044,3554.99173913044,3554.99173913044,3544.41
2022-01,3528.8335,3528.8335,3528.8335,3509.86
2022-02,3514.50684210526,3514.50684210526,3514.50684210526,3540.78
2022-03,3589.84227272727,3589.84227272727,3589.84227272727,3588.16
2022-04,3541.45611111111,3541.45611111111,3541.45611111111,3562.07
2022-05,3633.06809523809,3633.06809523809,3633.06809523809,3775.86
2022-06,3747.38075,3747.38075,3747.38075,3756.65
2022-07,3791.5919047619,3791.5919047619,3791.5919047619,3862.43
2022-08,3832.44913043478,3832.44913043478,3832.44913043478,3803.68
2022-09,3825.32636363636,3825.32636363636,3825.32636363636,3853.96
2022-10,3822.26761904762,3822.26761904762,3822.26761904762,3802.26
2022-11,3760.22818181818,3760.22818181818,3760.22818181818,3741.86
2022-12,3690.85785714286,3690.85785714286,3690.85785714286,3715.69
2023-01,3693.61047619048,3693.61047619048,3693.61047619048,3685.03
2023-02,3685.71578947368,3685.71578947368,3685.71578947368,3722.21
2023-03,3744.515,3744.515,3744.515,3778.13
2023-04,3745.81941176471,3745.81941176471,3745.81941176471,3735.25
2023-05,3729.55454545454,3729.55454545454,3729.55454545454,3772.4
2023-06,3707.788,3707.788,3707.788,3667.39
2023-07,3661.22952380952,3661.22952380952,3661.22952380952,3615.14
2023-08,3689.12260869565,3689.12260869565,3689.12260869565,3718.31
2023-09,3738.02225,3738.02225,3738.02225,3757.31
2023-10,3755.62531746032,3755.62531746032,3755.62531746032,3780.78
2023-11,3782.02518939394,3782.02518939394,3782.02518939394,3817.26388888889
2023-12,3780.65740740741,3780.65740740741,3780.65740740741,3782.22222222222
2024-01,3805.03362433863,3805.03362433863,3805.03362433863,3815.54166666667
2024-02,3873.58773611111,3873.58773611111,3873.58773611111,3932.25
2024-03,3895.7797368421,3895.7797368421,3895.7797368421,3885.0
2024-04,3822.6875,3822.6875,3822.6875,3813.20833333333
2024-05,3791.40079365079,3791.40079365079,3791.40079365079,3812.375
2024-06,3747.19011695906,3747.19011695906,3747.19011695906,3706.72222222222
2024-07,3705.85480676329,3705.85480676329,3705.85480676329,3722.90909090909
2024-08,3723.64728650138,3723.64728650138,3723.64728650138,3716.06
2024-09,3711.31308802309,3711.31308802309,3711.31308802309,3690.04545454545
2024-10,3667.92606749311,3667.92606749311,3667.92606749311,3662.05
2024-11,3678.64754689755,3678.64754689755,3678.64754689755,3688.86
